"","in.name","out.name","unlist.fun.lst."
"1","Psa.w4clay","clay.tot_usda.3a1_wpct","x*1"
"2","Psa.w4silt","silt.tot_usda.3a1_wpct","x*1"
"3","Psa.w4sand","sand.tot_usda.3a1_wpct","x*1"
"4","ExAc","al.kcl_usda.4b3_cmolkg","x*1"
"5","M3.P","p.ext_usda.4d6_mgkg","x*1"
"6","M3.Zn","zn.meh3_usda.4d6_mgkg","x*1"
"7","M3.Ca","ca.meh3_usda.4d6_mgkg","x*1"
"8","M3.Mg","mg.meh3_usda.4d6_mgkg","x*1"
"9","M3.Na","na.meh3_usda.4d6_mgkg","x*1"
"10","M3.K","k.meh3_usda.4d6_mgkg","x*1"
"11","EC","ec.w_usda.4f1_dsm","x*1"
"12","Acidified.carbon","oc_usda.calc_wpct","x*1"
"13","Total.nitrogen","n.tot_usda.4h2_wpct","x*1"
"14","PH","ph.h2o_usda.4c1_index","x*1"
"15","layer.upper.depth_usda_cm","layer.upper.depth_usda_cm","x*1"
"16","layer.lower.depth_usda_cm","layer.lower.depth_usda_cm","x*1"
"17","layer.sequence_usda_uint16","layer.sequence_usda_uint16","x*1"
"18","Latitude","latitude_wgs84_dd","x*1"
"19","Longitude","longitude_wgs84_dd","x*1"
"20","Scientist","surveyor.title_utf8_txt","paste(x)"
