table,original_name,import,ossl_name,comment
AfSIS_reference.csv,SSN,,,
AfSIS_reference.csv,ECd,,,
AfSIS_reference.csv,ExAc,,,
AfSIS_reference.csv,ExBas,,,
AfSIS_reference.csv,m3.Al,,,
AfSIS_reference.csv,m3.B,,,
AfSIS_reference.csv,m3.Ca,,,
AfSIS_reference.csv,m3.Cu,,,
AfSIS_reference.csv,m3.Fe,,,
AfSIS_reference.csv,m3.K,,,
AfSIS_reference.csv,m3.Mg,,,
AfSIS_reference.csv,m3.Mn,,,
AfSIS_reference.csv,m3.Na,,,
AfSIS_reference.csv,m3.P,,,
AfSIS_reference.csv,m3.S,,,
AfSIS_reference.csv,m3.Zn,,,
AfSIS_reference.csv,pH,,,
AfSIS_reference.csv,PSI,,,
AfSIS_reference.csv,Total.Nitrogen,,,
AfSIS_reference.csv,Total.Carbon,,,
AfSIS_reference.csv,Acidified.Carbon,,,
AfSIS_reference.csv,Clay,,,
AfSIS_reference.csv,Silt,,,
AfSIS_reference.csv,Sand,,,
