"","in.name","out.name","unlist.fun.lst."
"1","pH","ph.h2o_usda.4c1_index","x*1"
"2","N","n.tot_usda.4h2_wpct","x*1"
"3","TC","c.tot_usda.4h2_wpct","x*1"
"4","SOC","oc_usda.calc_wpct","x*1"
"5","m3.Al","al.meh3_usda.4d6_mgkg","x*1"
"6","m3.B","b.meh3_usda.4d6_mgkg","x*1"
"7","m3.Ca","ca.meh3_usda.4d6_mgkg","x*1"
"8","m3.Cu","cu.meh3_usda.4d6_mgkg","x*1"
"9","m3.Fe","fe.meh3_usda.4d6_mgkg","x*1"
"10","m3.K","k.meh3_usda.4d6_mgkg","x*1"
"11","m3.Mg","mg.meh3_usda.4d6_mgkg","x*1"
"12","m3.Mn","mn.meh3_usda.4d6_mgkg","x*1"
"13","m3.S","s.meh3_usda.4d6_mgkg","x*1"
"14","m3.Zn","zn.meh3_usda.4d6_mgkg","x*1"
"15","layer.upper.depth_usda_cm","layer.upper.depth_usda_cm","x*1"
"16","layer.lower.depth_usda_cm","layer.lower.depth_usda_cm","x*1"
"17","layer.sequence_usda_uint16","layer.sequence_usda_uint16","x*1"
"18","Latitude","latitude_wgs84_dd","x*1"
"19","Longitude","longitude_wgs84_dd","x*1"
"20","observation.date.begin_iso.8601_yyyy.mm.dd","observation.date.begin_iso.8601_yyyy.mm.dd","paste(x)"
"21","observation.date.end_iso.8601_yyyy.mm.dd","observation.date.end_iso.8601_yyyy.mm.dd","paste(x)"
"22","Scientist","surveyor.title_utf8_txt","paste(x)"
"23","sample.doi_idf_c","sample.doi_idf_c","paste(x)"
"24","sample.contact.name_utf8_txt","sample.contact.name_utf8_txt","paste(x)"
