table,original_name,import,original_unit,original_method,comment,ossl_abbrev,ossl_method,ossl_unit,ossl_convert,ossl_name
Austrian NIR Soil Spectral Library_V4.xlsx,id.layer_local_c,,,,,,,,,
Austrian NIR Soil Spectral Library_V4.xlsx,SOC,,,,,,,,,
Austrian NIR Soil Spectral Library_V4.xlsx,SOC_to_clay_ratio,,,,,,,,,
Austrian NIR Soil Spectral Library_V4.xlsx,TC,,,,,,,,,
Austrian NIR Soil Spectral Library_V4.xlsx,Labile_carbon,,,,,,,,,
Austrian NIR Soil Spectral Library_V4.xlsx,CaCO3,,,,,,,,,
Austrian NIR Soil Spectral Library_V4.xlsx,TN,,,,,,,,,
Austrian NIR Soil Spectral Library_V4.xlsx,Phosphorus,,,,,,,,,
Austrian NIR Soil Spectral Library_V4.xlsx,pH_CaCl2,,,,,,,,,
Austrian NIR Soil Spectral Library_V4.xlsx,pH_Acetate,,,,,,,,,
Austrian NIR Soil Spectral Library_V4.xlsx,CEC,,,,,,,,,
Austrian NIR Soil Spectral Library_V4.xlsx,Sand,,,,,,,,,
Austrian NIR Soil Spectral Library_V4.xlsx,Silt,,,,,,,,,
Austrian NIR Soil Spectral Library_V4.xlsx,Clay,,,,,,,,,
