table,original_name,import,ossl_name,comment
ssl_refdata_all,sample_id,,,
ssl_refdata_all,tc,,,
ssl_refdata_all,tn,,,
ssl_refdata_all,ph_h2o,,,
ssl_refdata_all,ph_kcl,,,
ssl_refdata_all,ph_cacl2,,,
ssl_refdata_all,clay_0-0.002,,,
ssl_refdata_all,silt_0.002-0.05,,,
ssl_refdata_all,silt_0.002-0.063,,,
ssl_refdata_all,sand_0.05-2,,,
ssl_refdata_all,sand_0.063-2,,,
ssl_refdata_all,al_icp,,,
ssl_refdata_all,fe_icp,,,
ssl_refdata_all,ca_icp,,,
ssl_refdata_all,mg_icp,,,
ssl_refdata_all,k_icp,,,
ssl_refdata_all,mn_icp,,,
ssl_refdata_all,na_icp,,,
ssl_refdata_all,p_icp,,,
