"","in.name","out.name","unlist.fun.lst."
"1","tc","oc_usda.calc_wpct","x/10"
"2","tn","n.tot_usda.4h2_wpct","x/10"
"3","ph_h2o","ph.h2o_usda.4c1_index","x*1"
"4","ph_kcl","ph.kcl_usda.4c1_index","x*1"
"5","ph_cacl2","ph.cacl2_usda.4c1_index","x*1"
"6","clay_0.0.002","clay.tot_usda.3a1_wpct","x*1"
"7","silt_0.002.0.05","silt.tot_usda.3a1_wpct","x*1"
"8","sand_0.05.2","sand.tot_usda.3a1_wpct","x*1"
"9","al_icp","al.kcl_usda.4b3_cmolkg","x/90"
"10","ca_icp","ca.ext_usda.4b1_cmolkg","x/200"
"11","mg_icp","mg.ext_usda.4b1_cmolkg","x/121"
"12","k_icp","k.ext_usda.4b1_cmolkg","x/391"
"13","na_icp","na.ext_usda.4b1_cmolkg","x/230"
"14","fe_icp","fe.kcl_usda.4b3_mgkg","x*1"
