table,original_name,import,ossl_name,comment
cssl_refdata_all,sample_id,,,
cssl_refdata_all,tc,,,
cssl_refdata_all,tn,,,
cssl_refdata_all,ph_h2o,,,
cssl_refdata_all,ph_kcl,,,
cssl_refdata_all,ph_cacl2,,,
cssl_refdata_all,clay_0-0.002,,,
cssl_refdata_all,silt_0.002-0.05,,,
cssl_refdata_all,silt_0.002-0.063,,,
cssl_refdata_all,sand_0.05-2,,,
cssl_refdata_all,sand_0.063-2,,,
cssl_refdata_all,al_icp,,,
cssl_refdata_all,fe_icp,,,
cssl_refdata_all,ca_icp,,,
cssl_refdata_all,mg_icp,,,
cssl_refdata_all,k_icp,,,
cssl_refdata_all,mn_icp,,,
cssl_refdata_all,na_icp,,,
cssl_refdata_all,p_icp,,,
