sample_id,tc,tn,ph_h2o,ph_kcl,ph_cacl2,clay_0-0.002,silt_0.002-0.05,silt_0.002-0.063,sand_0.05-2,sand_0.063-2,al_icp,fe_icp,ca_icp,mg_icp,k_icp,mn_icp,na_icp,p_icp
bol_1x_mcrz_50,10.75,0.756,4.45,NA,NA,11,16.5,NA,72.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
bol_2x_mcrz_20,12.69,0.916,4.5,NA,NA,6.11,18.09,NA,75.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
bon_1x_mcrz_20,12.31,0.891,4.27,NA,NA,9.06,28.04,NA,62.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
bon_pp_mcar_50,8.014,0.604,4.47,NA,NA,11.6,21.9,NA,66.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
bon_2x_mcrz_20,15.05,1.008,4.17,NA,NA,9.37,23.93,NA,66.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
ctr_in_arar_50,6.95,0.707,4.36,NA,NA,14.7,20.6,NA,64.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
ctr_in_msms_20,13.15,1.098,4.66,NA,NA,7.5,22.3,NA,70.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
ctr_in_nbnb_20,9.558,0.86,4.29,NA,NA,6.93,25.47,NA,67.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
ctr_in_rzrz_50,5.655,0.558,4.31,NA,NA,17,18.6,NA,64.4,NA,11.2253483,20.7750096,65.7992281,70.1858433,80.7970655,26.3196913,6.4439377,206.1709148
lif_s1_msms_20,15.73,1.231,4.64,NA,NA,4.83,25.27,NA,69.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
lif_s3_arar_20,24.29,1.916,4.25,NA,NA,6.04,32.36,NA,61.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
lif_s3_mcar_20,16.82,1.311,4.85,NA,NA,5.33,24.27,NA,70.4,NA,10.2183565,15.9160027,574.7825558,123.1676905,105.2369077,27.3705979,6.9825436,241.7736147
lif_s3_mcmc_20,23.03,1.65,4.53,NA,NA,5.51,25.59,NA,68.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
lil_1x_mcms_20,10.69,0.865,4.33,NA,NA,4,22.8,NA,73.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
lil_pp_mcar_20,13.455,0.987,4.57,NA,NA,4.67,22.43,NA,72.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
lil_s2_mcmc_20,22.42,1.278,4.37,NA,NA,3.63,21.07,NA,75.3,NA,7.0984307,15.8663458,191.5119144,83.2660497,143.6838954,20.8165124,4.4901217,149.8788895
lil_s3_mcar_20,13.88,0.99,4.8,NA,NA,3.18,20.42,NA,76.4,NA,7.0094467,15.7087842,249.8835994,93.1769354,115.1201037,21.1765762,4.9835543,148.2360336
lil_s3_mcms_50,8.357,0.599,4.45,NA,NA,6.96,16.64,NA,76.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
wak_in_mcrz_20,13.9,1.087,4.29,NA,NA,7.81,26.39,NA,65.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
wak_in_mmnb_50,6.837,0.584,4.4,NA,NA,7.47,18.93,NA,73.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
wak_in_nbnb_20,11.32,0.947,4.55,NA,NA,4.82,23.68,NA,71.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
wak_in_rzrz_50,5.847,0.498,4.22,NA,NA,13,12.9,NA,74.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
yal_s0_arar_20,27.55,1.929,4.19,NA,NA,5.8,21.4,NA,72.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
yal_s2_msms_20,19.37,1.423,5.04,NA,NA,5.25,21.35,NA,73.4,NA,9.705273,16.9057343,289.5534353,129.0780374,162.820897,24.4201692,5.4939566,163.9639935
yal_s2_rzrz_20,19.09,1.342,4.54,NA,NA,6.2,23.2,NA,70.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
