table,original_name,import,original_unit,original_method,comment,ossl_abbrev,ossl_method,ossl_unit,ossl_convert,ossl_name
GEMAS_MIRcompiled.csv,aowx_file,,,,,,,,,
GEMAS_MIRcompiled.csv,sample_id,,,,,,,,,
GEMAS_MIRcompiled.csv,silt,,,,,,,,,
GEMAS_MIRcompiled.csv,clay,,,,,,,,,
GEMAS_MIRcompiled.csv,As,,,,,,,,,
GEMAS_MIRcompiled.csv,Cd,,,,,,,,,
GEMAS_MIRcompiled.csv,Cu,,,,,,,,,
GEMAS_MIRcompiled.csv,Pb,,,,,,,,,
GEMAS_MIRcompiled.csv,Zn,,,,,,,,,
GEMAS_MIRcompiled.csv,C_tot,,,,,,,,,
GEMAS_MIRcompiled.csv,TOC,,,,,,,,,
GEMAS_MIRcompiled.csv,CEC,,,,,,,,,
GEMAS_MIRcompiled.csv,pH_CaCl2,,,,,,,,,
GEMAS_MIRcompiled.csv,LOI,,,,,,,,,
