table,original_name,ossl_abbrev,ossl_method,ossl_unit,ossl_convert,ossl_name
FR380_particlesize,Sand (%),clay.tot,usda.a334,w.pct,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",clay.tot_usda.a334_w.pct
FR380_particlesize,Silt (%),sand.tot,usda.c60,w.pct,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",sand.tot_usda.c60_w.pct
FR380_particlesize,Clay (%),silt.tot,usda.c62,w.pct,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",silt.tot_usda.c62_w.pct
FR380_physical,Bulk density (g/cm3),bd,usda.a4,g.cm3,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",bd_usda.a4_g.cm3
FR380_physical,Water content at 10 kPa (%w/w),wr.10kPa,usda.a414,w.pct,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",wr.10kPa_usda.a414_w.pct
FR380_physical,Water content at 1500 kPa (%w/w),wr.1500kPa,usda.a417,w.pct,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",wr.1500kPa_usda.a417_w.pct
FR380_chemical,LCR_Total Carbon (%),c.tot,usda.a622,w.pct,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",c.tot_usda.a622_w.pct
FR380_chemical,LCR_Total Nitrogen (%),n.tot,usda.a623,w.pct,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",n.tot_usda.a623_w.pct
FR380_chemical,LCR_P Olsen Available (ug/g),p.ext,usda.a274,mg.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",p.ext_usda.a274_mg.kg
FR380_chemical,LCR_P Bray Available (ug/g),p.ext,usda.a270,mg.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",p.ext_usda.a270_mg.kg
FR380_chemical,LCR_CEC (me.%),cec,usda.a723,cmolc.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",cec_usda.a723_cmolc.kg
FR380_chemical,LCR_Exchange Ca (me.%),ca.ext,usda.a722,cmolc.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",ca.ext_usda.a722_cmolc.kg
FR380_chemical,LCR_Exchange Mg (me.%),mg.ext,usda.a724,cmolc.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",mg.ext_usda.a724_cmolc.kg
FR380_chemical,LCR_Exchange K (me.%),k.ext,usda.a725,cmolc.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",k.ext_usda.a725_cmolc.kg
FR380_chemical,LCR_Exchange Na (me.%),na.ext,usda.a726,cmolc.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",na.ext_usda.a726_cmolc.kg
FR380_chemical,Scion_pH [H2O],ph.h2o,usda.a268,index,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",ph.h2o_usda.a268_index
FR380_chemical,Scion_Mehlich 3 B (mg/kg),b.ext,mel3,mg.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",b.ext_mel3_mg.kg
FR380_chemical,Scion_Mehlich 3 Al (mg/kg),al.ext,usda.a1056,mg.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",al.ext_usda.a1056_mg.kg
FR380_chemical,Scion_Mehlich 3 Na (mg/kg),na.ext,usda.a1068,mg.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",na.ext_usda.a1068_mg.kg
FR380_chemical,Scion_Mehlich 3 Mg (mg/kg),mg.ext,usda.a1066,mg.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",mg.ext_usda.a1066_mg.kg
FR380_chemical,Scion_Mehlich 3 P (mg/kg),p.ext,usda.a652,mg.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",p.ext_usda.a652_mg.kg
FR380_chemical,Scion_Mehlich 3 K (mg/kg),k.ext,usda.a1065,mg.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",k.ext_usda.a1065_mg.kg
FR380_chemical,Scion_Mehlich 3 Ca (mg/kg),ca.ext,usda.a1059,mg.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",ca.ext_usda.a1059_mg.kg
FR380_chemical,Scion_Mehlich 3 Mn (mg/kg),mn.ext,usda.a1067,mg.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",mn.ext_usda.a1067_mg.kg
FR380_chemical,Scion_Mehlich 3 Fe (mg/kg),fe.ext,usda.a1064,mg.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",fe.ext_usda.a1064_mg.kg
FR380_chemical,Scion_Mehlich 3 Cu (mg/kg),cu.ext,usda.a1063,mg.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",cu.ext_usda.a1063_mg.kg
FR380_chemical,Scion_Mehlich 3 Zn (mg/kg),zn.ext,usda.a1073,mg.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",zn.ext_usda.a1073_mg.kg
