table,original_name,import,ossl_name,original_description,comment
FR380_particlesize,Trial ID,,,Scion trial ID,"NA; NA"
FR380_particlesize,LCR_Soil profile ID,,,Manaaki Whenua - Landcare Research (LCR) soil profile ID,"NA; NA"
FR380_particlesize,LCR_Lab letter,,,Manaaki Whenua - Landcare Research (LCR) soil horizon lab letter,"NA; NA"
FR380_particlesize,LCR_Horizon number,,,Manaaki Whenua - Landcare Research (LCR) soil horizon number,"NA; NA"
FR380_particlesize,Coarse sand (%),,,"Manaaki Whenua - Landcare Research (LCR) Environmental Chemistry Laboratory, soil testing","particle size was measured by dispersing the field-moist soil in water with an ultrasonic probe and sedimentation separating the fine earth (<2 mm) fraction (% sand, silt and clay); Watt et al. (2005; 2008) and Ross et al. (2009)"
FR380_particlesize,Medium sand (%),,,"Manaaki Whenua - Landcare Research (LCR) Environmental Chemistry Laboratory, soil testing","NA; NA"
FR380_particlesize,Fine sand (%),,,"Manaaki Whenua - Landcare Research (LCR) Environmental Chemistry Laboratory, soil testing","NA; NA"
FR380_particlesize,Sand (%),,,"Manaaki Whenua - Landcare Research (LCR) Environmental Chemistry Laboratory, soil testing","NA; NA"
FR380_particlesize,Silt (%),,,"Manaaki Whenua - Landcare Research (LCR) Environmental Chemistry Laboratory, soil testing","NA; NA"
FR380_particlesize,Clay (%),,,"Manaaki Whenua - Landcare Research (LCR) Environmental Chemistry Laboratory, soil testing","NA; NA"
FR380_physical,Trial ID,,,Scion trial ID,"NA; NA"
FR380_physical,Location of sample,,,Either taken from the soil profile or from the sample plots,"NA; Watt et al. (2005; 2008)"
FR380_physical,Sample Method,,,The method for sample collection,"NA; Watt et al. (2005; 2008) and Ross et al. (2009)"
FR380_physical,Sample plots 'Disturbed' or 'Undisturbed',,,Either taken from disturbed or undisturbed area,"NA; Watt et al. (2005; 2008)"
FR380_physical,Horizon notation,,,Soil profile horizon notation,"NA; Milne JDG, Clayden B, Singleton PL, Wilson AD, (1995) Soil description handbook. Manaaki Whenua Press. https://doi.org/10.7931/DL1JG6"
FR380_physical,Horizon top (cm),,,The top of the soil horizon,"NA; NA"
FR380_physical,Horizon base (cm),,,The base of the soil horizon,"NA; NA"
FR380_physical,LCR_Soil profile ID,,,Manaaki Whenua - Landcare Research (LCR) soil profile ID,"NA; NA"
FR380_physical,LCR_Lab letter,,,Manaaki Whenua - Landcare Research (LCR) soil horizon lab letter,"NA; NA"
FR380_physical,LCR_Horizon number,,,Manaaki Whenua - Landcare Research (LCR) soil horizon number,"NA; NA"
FR380_physical,Lab Code,,,Manaaki Whenua - Landcare Research (LCR) lab code,"NA; NA"
FR380_physical,Particle density (g/cm3),,,"Air capacity (% by volume of airfilled voids at 10 kPa matric potential), macroporosity (% by
volume of pores at 5 kPa matric potential), readily available (%
water by volume drained between 10 and 100 kPa matric
potentials) and total available water (% volume of water drained
between 10 and 1500 kPa matric potentials) were measured by
moisture release. Cone penetration resistance was measured in the
laboratory on soil cores equilibrated at 10 kPa.","NA; Watt et al. (2005; 2008) and Ross et al. (2009)"
FR380_physical,Bulk density (g/cm3),,,NA,"NA; NA"
FR380_physical,Porosity (%),,,NA,"NA; NA"
FR380_physical,Macro-porosity (%),,,NA,"NA; NA"
FR380_physical,Air capacity (%),,,NA,"NA; NA"
FR380_physical,Void Ratio,,,NA,"NA; NA"
FR380_physical,Field capacity (%),,,NA,"NA; NA"
FR380_physical,Water content at saturation (calculation) (%w/w),,,NA,"NA; NA"
FR380_physical,Water content at 5 kPa (%w/w),,,NA,"NA; NA"
FR380_physical,Water content at 10 kPa (%w/w),,,NA,"NA; NA"
FR380_physical,Water content at 100 kPa (%w/w),,,NA,"NA; NA"
FR380_physical,Water content at 1500 kPa (%w/w),,,NA,"NA; NA"
FR380_physical,Water content at saturation (calculation) (%v/v),,,NA,"NA; NA"
FR380_physical,Water content at 5 kPa (%v/v),,,NA,"NA; NA"
FR380_physical,Water content at 10 kPa (%v/v),,,NA,"NA; NA"
FR380_physical,Water content at 100 kPa (%v/v),,,NA,"NA; NA"
FR380_physical,Water content at 1500 kPa (%v/v),,,NA,"NA; NA"
FR380_physical,"Penetration Resistance at 10 kPa, 3-6 cm at FC, Mean of 2 reps (MPa)",,,NA,"NA; NA"
FR380_physical,Water content at field moisture (%w/w),,,NA,"NA; NA"
FR380_physical,Water content at field moisture (%v/v),,,NA,"NA; NA"
FR380_physical,"RAW 
(10-100 kPa)",,,calculation,"NA; NA"
FR380_physical,"TAW
(10-1500 kPa)",,,calculation,"NA; NA"
FR380_physical,Pedology stone content (%),,,from soil profile description,"NA; NA"
FR380_physical,RAW (10-100 kPa) (stone corr.) (%),,,calculation,"NA; NA"
FR380_physical,TAW (100-1500 kPa) (stone corr.) (%),,,calculation,"NA; NA"
FR380_chemical,Trial ID,,,Scion trial ID,"NA; NA"
FR380_chemical,Sampling Date,,,Date the sample was collected,"NA; NA"
FR380_chemical,Sample Method,,,The method for sample collection,"NA; Watt et al. (2005; 2008) and Ross et al. (2009)"
FR380_chemical,Horizon top (cm),,,The top of the soil horizon,"NA; NA"
