table,original_name,import,ossl_name,comment
ICRAF_ISRIC_reference_data.csv,Batch and labid,,,
ICRAF_ISRIC_reference_data.csv,ICRAF sample codes.SAMPLENO,,,
ICRAF_ISRIC_reference_data.csv,Country name,,,
ICRAF_ISRIC_reference_data.csv,Plotcode,,,
ICRAF_ISRIC_reference_data.csv,HORI,,,
ICRAF_ISRIC_reference_data.csv,BTOP,,,
ICRAF_ISRIC_reference_data.csv,BBOT,,,
ICRAF_ISRIC_reference_data.csv,Dsed,,,
ICRAF_ISRIC_reference_data.csv,N / S,,,
ICRAF_ISRIC_reference_data.csv,Lat: degr,,,
ICRAF_ISRIC_reference_data.csv,Lat: min,,,
ICRAF_ISRIC_reference_data.csv,Lat: sec,,,
ICRAF_ISRIC_reference_data.csv,E / W,,,
ICRAF_ISRIC_reference_data.csv,Long: degr,,,
ICRAF_ISRIC_reference_data.csv,Long: min,,,
ICRAF_ISRIC_reference_data.csv,Long: sec,,,
ICRAF_ISRIC_reference_data.csv,Sample no,,,
ICRAF_ISRIC_reference_data.csv,pH (H2O),,,
ICRAF_ISRIC_reference_data.csv,pH (KCl),,,
ICRAF_ISRIC_reference_data.csv,pH (CaCl2),,,
ICRAF_ISRIC_reference_data.csv,CaCO3,,,
ICRAF_ISRIC_reference_data.csv,CaSO4,,,
ICRAF_ISRIC_reference_data.csv,Org C,,,
ICRAF_ISRIC_reference_data.csv,Org N,,,
ICRAF_ISRIC_reference_data.csv,C/N ratio,,,
ICRAF_ISRIC_reference_data.csv,Ca,,,
ICRAF_ISRIC_reference_data.csv,Mg,,,
ICRAF_ISRIC_reference_data.csv,Na,,,
ICRAF_ISRIC_reference_data.csv,K,,,
ICRAF_ISRIC_reference_data.csv,Sum cat,,,
ICRAF_ISRIC_reference_data.csv,Exch acid,,,
ICRAF_ISRIC_reference_data.csv,Exch Al,,,
ICRAF_ISRIC_reference_data.csv,CEC soil,,,
ICRAF_ISRIC_reference_data.csv,CEC clay,,,
ICRAF_ISRIC_reference_data.csv,CEC OM,,,
ICRAF_ISRIC_reference_data.csv,ECEC,,,
ICRAF_ISRIC_reference_data.csv,Base sat,,,
ICRAF_ISRIC_reference_data.csv,Al sat,,,
ICRAF_ISRIC_reference_data.csv,ESP,,,
ICRAF_ISRIC_reference_data.csv,El cond,,,
ICRAF_ISRIC_reference_data.csv,Remarks...41,,,
ICRAF_ISRIC_reference_data.csv,VCS,,,
ICRAF_ISRIC_reference_data.csv,CS,,,
ICRAF_ISRIC_reference_data.csv,MS,,,
ICRAF_ISRIC_reference_data.csv,FS,,,
ICRAF_ISRIC_reference_data.csv,VFS,,,
ICRAF_ISRIC_reference_data.csv,Tot S,,,
ICRAF_ISRIC_reference_data.csv,CSi,,,
ICRAF_ISRIC_reference_data.csv,FSi,,,
ICRAF_ISRIC_reference_data.csv,Tot Si,,,
ICRAF_ISRIC_reference_data.csv,Clay,,,
ICRAF_ISRIC_reference_data.csv,Disp clay,,,
ICRAF_ISRIC_reference_data.csv,BD,,,
ICRAF_ISRIC_reference_data.csv,pF0,,,
ICRAF_ISRIC_reference_data.csv,pF1.0,,,
ICRAF_ISRIC_reference_data.csv,pF1.5,,,
ICRAF_ISRIC_reference_data.csv,pF2.0,,,
ICRAF_ISRIC_reference_data.csv,pF2.3,,,
ICRAF_ISRIC_reference_data.csv,pF2.7,,,
ICRAF_ISRIC_reference_data.csv,pF3.4,,,
ICRAF_ISRIC_reference_data.csv,pF4.2,,,
ICRAF_ISRIC_reference_data.csv,COLE,,,
ICRAF_ISRIC_reference_data.csv,SSA,,,
ICRAF_ISRIC_reference_data.csv,Remarks...64,,,
