analyte_id,analyte_name,analyte_abbrev,analyte_code,analyte_method_code,analyte_type,analyte_format,agg_method,uom_abbrev,adod_dependency,calc_script_path,calc_desc,calc_note,analyte_desc,analyte_note
1,"Aggregate Stability, 0.5-2mm Aggregates",aggstb,AggStb,AggStb,I,4,mean,% wt,1,\\aioneli93ap1\CalcScripts\Sample_Analytes\Sample_Prep\aggregate_stability.txt,To Be Added,,Aggregate stability is the weight percent of 0.5mm - 2mm aggregates remaining after wet sieving.,
2,"Liquid Limit, Atterberg",abgll,abgll,LLabg,C,4,concat,% H2O,0,\\aioneli93ap1\CalcScripts\Sample_Analytes\Physics\Atterberg\liquid_limit.txt,To Be Added,,Atterberg liquid limit is the gravimetric percent water content of the soil at a defined boundary between the liquid and plastic states. It is determined by ASTM method D 4318 and reported as percent water on a <0.4 mm base.,
3,"Plastic Limit, Atterberg",abgpl,abgpl,abgpl,I,4,mean,% H2O,0,\\aioneli93ap1\CalcScripts\Sample_Analytes\missing.txt,To Be Added,,Atterberg plastic limit is the water content of a soil at the boundary between the plastic and brittle states. It is defined by the ASTM D 4318 test.,
4,"Bulk Density, <2mm Fraction, 1/3 Bar",db_13b,Db1/3,Db13b,F,4.2,mean,g/cc,0,\\aioneli93ap1\CalcScripts\Sample_Analytes\Physics\Bulk_Density\db_clod_1_3_bar.txt,To Be Added,,"Bulk density, <2 mm fraction, 1/3 bar is the weight per unit volume of the <2 mm fraction, with volume being measured after equilibration at 1/3 bar water tension. It is reported as grams per cubic centimeter on a <2 mm base.",
5,"Bulk Density, <2mm Fraction, Ovendry",db_od,DbOD,DbOD,F,4.2,mean,g/cc,0,\\aioneli93ap1\CalcScripts\Sample_Analytes\Physics\Bulk_Density\db_clod_ovendry.txt,To Be Added,,"Bulk density, oven dry (105 C) is the weight per unit volume of the <2 mm fraction, with volume measured on oven dry (105 C) natural fabric (clods). It is reported as grams per cubic centimeter on a <2 mm base.",
6,"Water Retention, 0.06 Bar, <2mm Clod",w6clod,W6clod,W06bar,F,5.1,mean,% wt,1,\\aioneli93ap1\CalcScripts\Sample_Analytes\Physics\Water_Retention\h2o_content_clod_0_06_bar.txt,To Be Added,,"0.06 bar water, <2mm fraction of clods is the gravimetric percent water held by clods equilibrated at 0.06 bar water tension. It is reported on a <2 mm base.",
7,"Water Retention, 1 Bar, <2mm Clod",w1bcld,W1Bcld,W1bar,F,5.1,mean,% wt,1,\\aioneli93ap1\CalcScripts\Sample_Analytes\Physics\Water_Retention\h2o_content_clod_1_bar.txt,To Be Added,,"1 bar water, clods, <2mm is the gravimetric percent water in natural fabric (clods) after equilibration at one bar water tension. It is reported on a <2 mm base.",
8,"Water Retention, 1/10 Bar, <2mm Clod",w10cld,W10cld,W10bar,F,5.1,mean,% wt,1,\\aioneli93ap1\CalcScripts\Sample_Analytes\Physics\Water_Retention\h2o_content_clod_0_1_bar.txt,To Be Added,,"1/10 bar water, clods is the gravimetric percent water retained at 1/10 bar tension. It is measured on natural fabric (clods), and reported on a <2 mm base.",
9,"Water Retention, 1/3 Bar, <2mm Clod",w3cld,W3cld,W33bar,F,5.1,mean,% wt,1,\\aioneli93ap1\CalcScripts\Sample_Analytes\Physics\Water_Retention\h2o_content_clod_1_3_bar.txt,To Be Added,,"1/3 bar water, clods is the gravimetric percent water in natural fabric (clods) after equilibration at 1/3 bar water tension. It is reported on a <2 mm base.",
10,"Bulk Density, <2 mm Fraction, 1/10 Bar",db_10b,Db_10B,Db10b,F,4.2,mean,g/cc,0,\\aioneli93ap1\CalcScripts\Sample_Analytes\missing.txt,to be added,,"Bulk density, <2 mm fraction, 1/10 bar is the weight per unit volume of the <2 mm fraction, with volume being measured after equilibration at 1/10 bar water tension. It is reported as grams per cubic centimeter on a <2 mm base.",
11,"Water Retention, 0.06 Bar, Cores",w6core,W6core,W06bar,F,5.1,mean,% wt,1,\\aioneli93ap1\CalcScripts\Sample_Analytes\Physics\Water_Retention\h2o_content_core_0_06_bar.txt,To Be Added,,"0.06 bar water, cores is the gravimetric percent water in soil core after equilibration at 0.06 bar water tension. It is reported on a <2 mm base.",
