source,id,original_name,import,ossl_name,abbrev,unit,original_description
kssl_analyte,365,"Acetate, Saturation Extract",,,oac_satx,mmol(-)/L,The acetate anion in the saturation extract.
kssl_analyte,1186,"Acetate, Water",,,oac_wat,µg/L,The acetate anion in the water sample.
kssl_analyte,1145,"Acetate, water extract",,,oac_watx,µg/kg,The acetate anion in the water extract.
kssl_analyte,88,"Acidity, BaCl2-TEA Extractable, pH 8.2",,,acid_tea,cmol(+)/kg,"Extractable acidity, BaCl2-TEA at pH 8.2, is a measure of the amount of acid neutralized at a set pH. It is a measure of the potential acidity present, and does not distinguish between exchangeable and nonexchangeable components."
kssl_analyte,795,"Acidity, BaCl2-TEA Extractable, pH 8.2, centrifuge",,,acid_teac,cmol(+)/kg,"Extractable acidity, BaCl2-TEA at pH 8.2, is a measure of the amount of acid neutralized at a set pH. It is a measure of the potential acidity present, and does not distinguish between exchangeable and nonexchangeable components."
kssl_analyte,109,"Actinolite, petro_count",,,min_AC_petro_count,count,to be added
kssl_analyte,1240,"Actinolite, x-ray pm",,,min_AC_x-ray_pm,peak_size,to be added
kssl_calc,1226,"Active Carbon, screened, F, Cary 50",,,ActiveC,mg/kg,"Active Carbon screened resulting in ND (non-detect), value, or over-limit value."
kssl_calc,1231,"Active Carbon, screened, F, Cary 60",,,ActiveC,mg/kg,"Active Carbon screened resulting in ND (non-detect), value, or over-limit value."
kssl_calc,1223,"Active Carbon, screened, M, Cary 50",,,ActiveC,mg/kg,"Active Carbon screened resulting in ND (non-detect), value, or over-limit value."
kssl_calc,1228,"Active Carbon, screened, M, Cary 60",,,ActiveC,mg/kg,"Active Carbon screened resulting in ND (non-detect), value, or over-limit value."
kssl_calc,1224,"Active Carbon, screened, N, Cary 50",,,ActiveC,mg/kg,"Active Carbon screened resulting in ND (non-detect), value, or over-limit value."
kssl_calc,1229,"Active Carbon, screened, N, Cary 60",,,ActiveC,mg/kg,"Active Carbon screened resulting in ND (non-detect), value, or over-limit value."
kssl_calc,1222,"Active Carbon, screened, S, Cary 50",,,ActiveC,mg/kg,"Active Carbon screened resulting in ND (non-detect), value, or over-limit value."
kssl_calc,1227,"Active Carbon, screened, S, Cary 60",,,ActiveC,mg/kg,"Active Carbon screened resulting in ND (non-detect), value, or over-limit value."
kssl_calc,1232,"Active Carbon, screened, S80, Cary 50",,,ActiveC,mg/kg,"Active Carbon screened resulting in ND (non-detect), value, or over-limit value."
kssl_calc,1237,"Active Carbon, screened, S80, Cary 60",,,ActiveC,mg/kg,"Active Carbon screened resulting in ND (non-detect), value, or over-limit value."
kssl_calc,1241,"Active Carbon, weight note, F, Cary 50",,,ActCWt,(NA),Active Carbon weight note displays a note if the average weight used in analysis is outside the range 2.4 to 2.6 gm.
kssl_calc,1245,"Active Carbon, weight note, F, Cary 60",,,ActCWt,(NA),Active Carbon weight note displays a note if the average weight used in analysis is outside the range 2.4 to 2.6 gm.
kssl_calc,1239,"Active Carbon, weight note, M, Cary 50",,,ActCWt,(NA),Active Carbon weight note displays a note if the average weight used in analysis is outside the range 2.4 to 2.6 gm.
kssl_calc,1243,"Active Carbon, weight note, M, Cary 60",,,ActCWt,(NA),Active Carbon weight note displays a note if the average weight used in analysis is outside the range 2.4 to 2.6 gm.
kssl_calc,1240,"Active Carbon, weight note, N, Cary 50",,,ActCWt,(NA),Active Carbon weight note displays a note if the average weight used in analysis is outside the range 2.4 to 2.6 gm.
