table,original_name,comment,import,ossl_abbrev,ossl_method,ossl_unit,ossl_convert,ossl_name
LUCAS 2009/2012; SoilAttr_*.gpkg,POINT_ID,NA,NA,NA,NA,NA,NA,NA
LUCAS 2009/2012; SoilAttr_*.gpkg,coarse,originally percent,TRUE,cf,iso.11464,w.pct,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",cf_iso.11464_w.pct
LUCAS 2009/2012; SoilAttr_*.gpkg,clay,originally percent,TRUE,clay.tot,iso.11277,w.pct,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",clay.tot_iso.11277_w.pct
LUCAS 2009/2012; SoilAttr_*.gpkg,silt,originally percent,TRUE,silt.tot,iso.11277,w.pct,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",silt.tot_iso.11277_w.pct
LUCAS 2009/2012; SoilAttr_*.gpkg,sand,originally percent,TRUE,sand.tot,iso.11277,w.pct,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",sand.tot_iso.11277_w.pct
LUCAS 2009/2012; SoilAttr_*.gpkg,pHinH2O,NA,TRUE,ph.h2o,iso.10390,index,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",ph.h2o_iso.10390_index
LUCAS 2009/2012; SoilAttr_*.gpkg,pHinCaCl2,NA,TRUE,ph.cacl2,iso.10390,index,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",ph.cacl2_iso.10390_index
LUCAS 2009/2012; SoilAttr_*.gpkg,OC,originally g/kg,TRUE,oc,iso.10694,w.pct,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)/10)",oc_iso.10694_w.pct
LUCAS 2009/2012; SoilAttr_*.gpkg,CaCO3,originally g/kg,TRUE,caco3,iso.10693,w.pct,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)/10)",caco3_iso.10693_w.pct
LUCAS 2009/2012; SoilAttr_*.gpkg,N,total nitrogen content (g/kg),TRUE,n.tot,iso.11261,w.pct,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)/10)",n.tot_iso.11261_w.pct
LUCAS 2009/2012; SoilAttr_*.gpkg,P,"phosphorous content (mg/kg), soluble fraction",TRUE,p.ext,iso.11263,mg.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",p.ext_iso.11263_mg.kg
LUCAS 2009/2012; SoilAttr_*.gpkg,K,"extractable potassium content (mg/kg), USDA NH4OAc",TRUE,k.ext,usda.a725,cmolc.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)/(39.098*10/2))",k.ext_usda.a725_cmolc.kg
LUCAS 2009/2012; SoilAttr_*.gpkg,CEC,cation exchange capacity (cmol(+)/kg),TRUE,cec,iso.11260,cmolc.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",cec_iso.11260_cmolc.kg
LUCAS 2009/2012; SoilAttr_*.gpkg,NUTS_0,NA,NA,NA,NA,NA,NA,NA
LUCAS 2009/2012; SoilAttr_*.gpkg,NUTS_1,NA,NA,NA,NA,NA,NA,NA
LUCAS 2009/2012; SoilAttr_*.gpkg,NUTS_2,NA,NA,NA,NA,NA,NA,NA
LUCAS 2009/2012; SoilAttr_*.gpkg,Country,NA,NA,NA,NA,NA,NA,NA
LUCAS_Topsoil_2015.csv,Point_ID,NA,NA,NA,NA,NA,NA,NA
LUCAS_Topsoil_2015.csv,Revisited_point,NA,NA,NA,NA,NA,NA,NA
LUCAS_Topsoil_2015.csv,Coarse,originally percent,TRUE,cf,iso.11464,w.pct,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",cf_iso.11464_w.pct
LUCAS_Topsoil_2015.csv,Clay,originally percent,TRUE,clay.tot,iso.11277,w.pct,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",clay.tot_iso.11277_w.pct
LUCAS_Topsoil_2015.csv,Sand,originally percent,TRUE,sand.tot,iso.11277,w.pct,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",sand.tot_iso.11277_w.pct
LUCAS_Topsoil_2015.csv,Silt,originally percent,TRUE,silt.tot,iso.11277,w.pct,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",silt.tot_iso.11277_w.pct
LUCAS_Topsoil_2015.csv,pH(CaCl2),NA,TRUE,ph.cacl2,iso.10390,index,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",ph.cacl2_iso.10390_index
LUCAS_Topsoil_2015.csv,pH(H2O),NA,TRUE,ph.h2o,iso.10390,index,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",ph.h2o_iso.10390_index
LUCAS_Topsoil_2015.csv,EC,"ISO.11265, originally mS per m",TRUE,ec,iso.11265,ds.m,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)/100)",ec_iso.11265_ds.m
LUCAS_Topsoil_2015.csv,OC,originally g/kg,TRUE,oc,iso.10694,w.pct,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)/10)",oc_iso.10694_w.pct
LUCAS_Topsoil_2015.csv,CaCO3,originally g/kg,TRUE,caco3,iso.10693,w.pct,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)/10)",caco3_iso.10693_w.pct
LUCAS_Topsoil_2015.csv,P,"phosphorous content (mg/kg), soluble fraction",TRUE,p.ext,iso.11263,mg.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",p.ext_iso.11263_mg.kg
LUCAS_Topsoil_2015.csv,N,total nitrogen content (g/kg),TRUE,n.tot,iso.11261,w.pct,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)/10)",n.tot_iso.11261_w.pct
LUCAS_Topsoil_2015.csv,K,"extractable potassium content (mg/kg), USDA NH4OAc",TRUE,k.ext,usda.a725,cmolc.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)/(39.098*10/2))",k.ext_usda.a725_cmolc.kg
LUCAS_Topsoil_2015.csv,Elevation,NA,NA,NA,NA,NA,NA,NA
LUCAS_Topsoil_2015.csv,LC1,NA,NA,NA,NA,NA,NA,NA
LUCAS_Topsoil_2015.csv,LU1,NA,NA,NA,NA,NA,NA,NA
LUCAS_Topsoil_2015.csv,Soil_Stones,NA,NA,NA,NA,NA,NA,NA
LUCAS_Topsoil_2015.csv,NUTS_0,NA,NA,NA,NA,NA,NA,NA
LUCAS_Topsoil_2015.csv,NUTS_1,NA,NA,NA,NA,NA,NA,NA
LUCAS_Topsoil_2015.csv,NUTS_2,NA,NA,NA,NA,NA,NA,NA
LUCAS_Topsoil_2015.csv,NUTS_3,NA,NA,NA,NA,NA,NA,NA
LUCAS_Topsoil_2015.csv,LC1_Desc,NA,NA,NA,NA,NA,NA,NA
LUCAS_Topsoil_2015.csv,LU1_Desc,NA,NA,NA,NA,NA,NA,NA
