table,original_name,import,original_unit,original_method,comment,ossl_abbrev,ossl_method,ossl_unit,ossl_convert,ossl_name
soil fertility data.xlsx,id.layer_local_c,,,,,,,,,
soil fertility data.xlsx,Clay,,,,,,,,,
soil fertility data.xlsx,OM,,,,,,,,,
soil fertility data.xlsx,CEC,,,,,,,,,
soil fertility data.xlsx,pH,,,,,,,,,
soil fertility data.xlsx,V,,,,,,,,,
soil fertility data.xlsx,exP,,,,,,,,,
soil fertility data.xlsx,exK,,,,,,,,,
soil fertility data.xlsx,exCa,,,,,,,,,
soil fertility data.xlsx,exMg,,,,,,,,,
