table,original_name,import,original_unit,original_method,comment,ossl_abbrev,ossl_method,ossl_unit,ossl_convert,ossl_name
SoilCarbonMartinique_v2.tab,id.layer_local_c,,,,,,,,,
SoilCarbonMartinique_v2.tab,SOCg (g/kg soil < 2 mm),,,,,,,,,
SoilCarbonMartinique_v2.tab,Nt (g/kg soil < 2 mm),,,,,,,,,
SoilCarbonMartinique_v2.tab,Clay 0-0.002 mm (% soil < 2 mm),,,,,,,,,
SoilCarbonMartinique_v2.tab,Sand 0.5-2 mm (% soil < 2 mm),,,,,,,,,
SoilCarbonMartinique_v2.tab,Sand 0.2-0.5 mm (% soil < 2 mm),,,,,,,,,
SoilCarbonMartinique_v2.tab,Sand 0.05-0.2 mm (% soil < 2 mm),,,,,,,,,
SoilCarbonMartinique_v2.tab,Silt 0.02-0.05 mm (% soil < 2 mm),,,,,,,,,
SoilCarbonMartinique_v2.tab,Silt 0.002-0.02 mm (% soil < 2 mm),,,,,,,,,
SoilCarbonMartinique_v2.tab,Bulk density (kg total soil/dm3 total soil),,,,,,,,,
SoilCarbonMartinique_v2.tab,Coarse particles > 2 mm (% total soil),,,,,,,,,
SoilCarbonMartinique_v2.tab,SOCv (kg/dm3 total soil),,,,,,,,,
