"","in.name","out.name","unlist.fun.lst."
"1","phCacl2","ph.cacl2_usda.4c1_index","x*1"
"2","phH2o","ph.h2o_usda.4c1_index","x*1"
"3","ec12pre","ec.w_usda.4f1_dsm","x*1"
"4","gypsumConc","gyp_usda.4e2_wpct","x/10"
"5","caco3Conc","caco3_usda.4e1_wpct","x/10"
"6","caNh4d","ca.ext_usda.4b1_cmolkg","x*1"
"7","kNh4d","k.ext_usda.4b1_cmolkg","x*1"
"8","mgNh4d","mg.ext_usda.4b1_cmolkg","x*1"
"9","naNh4d","na.ext_usda.4b1_cmolkg","x*1"
"10","cecdNh4","cec.ext_usda.4b1_cmolkg","x*1"
"11","baseSumCecd10","sum.bases_4b4b2a_cmolkg","x*1"
"12","ececCecd33","ecec_usda.4b4_cmolkg","x*1"
"13","alKcl","al.kcl_usda.4b3_cmolkg","x*1"
"14","feKcl","fe.kcl_usda.4b3_mgkg","x*1"
"15","carbonTot","c.tot_usda.4h2_wpct","x/10"
"16","nitrogenTot","n.tot_usda.4h2_wpct","x/10"
"17","sulfurTot","s.tot_usda.4h2_wpct","x/10"
"18","finalOC","oc_usda.calc_wpct","x/10"
"19","bulkDensExclCoarseFrag","bd.od_usda.3b2_gcm3","x*1"
"20","sandTotal","sand.tot_usda.3a1_wpct","x*1"
"21","siltTotal","silt.tot_usda.3a1_wpct","x*1"
"22","clayTotal","clay.tot_usda.3a1_wpct","x*1"
