table,original_name,import,ossl_abbrev,ossl_method,ossl_unit,ossl_convert,ossl_name,comment
_avg_soil+site+NIR,kssl_id,NA,NA,NA,NA,NA,NA,equivalent to smp.id in KSSL DB
_avg_soil+site+NIR,lay_id,NA,NA,NA,NA,NA,NA,equivalent to lay.id in KSSL DB
_avg_soil+site+NIR,eoc_tot_c,TRUE,oc,usda.c729,w.pct,x,oc_usda.c729_w.pct,"already with OSSL unit as it was fetched from the OSSL DB, not the original KSSL"
_avg_soil+site+NIR,c_tot_ncs,TRUE,c.tot,usda.a622,w.pct,x,c.tot_usda.a622_w.pct,"already with OSSL unit as it was fetched from the OSSL DB, not the original KSSL"
_avg_soil+site+NIR,n_tot_ncs,TRUE,n.tot,usda.a623,w.pct,x,n.tot_usda.a623_w.pct,"already with OSSL unit as it was fetched from the OSSL DB, not the original KSSL"
_avg_soil+site+NIR,s_tot_ncs,TRUE,s.tot,usda.a624,w.pct,x,s.tot_usda.a624_w.pct,"already with OSSL unit as it was fetched from the OSSL DB, not the original KSSL"
_avg_soil+site+NIR,ph_h2o,TRUE,ph.h2o,usda.a268,index,x,ph.h2o_usda.a268_index,"already with OSSL unit as it was fetched from the OSSL DB, not the original KSSL"
_avg_soil+site+NIR,db_13b,TRUE,bd,usda.a4,g.cm3,x,bd_usda.a4_g.cm3,"already with OSSL unit as it was fetched from the OSSL DB, not the original KSSL"
_avg_soil+site+NIR,clay_tot_psa,TRUE,clay.tot,usda.a334,w.pct,x,clay.tot_usda.a334_w.pct,"already with OSSL unit as it was fetched from the OSSL DB, not the original KSSL"
_avg_soil+site+NIR,silt_tot_psa,TRUE,silt.tot,usda.c62,w.pct,x,silt.tot_usda.c62_w.pct,"already with OSSL unit as it was fetched from the OSSL DB, not the original KSSL"
_avg_soil+site+NIR,sand_tot_psa,TRUE,sand.tot,usda.c60,w.pct,x,sand.tot_usda.c60_w.pct,"already with OSSL unit as it was fetched from the OSSL DB, not the original KSSL"
_avg_soil+site+NIR,caco3,TRUE,caco3,usda.a54,w.pct,x,caco3_usda.a54_w.pct,"already with OSSL unit as it was fetched from the OSSL DB, not the original KSSL"
_avg_soil+site+NIR,efferv_1nhcl,TRUE,efferv,usda.a479,class,x,efferv_usda.a479_class,"already with OSSL unit as it was fetched from the OSSL DB, not the original KSSL"
_avg_soil+site+NIR,cecd_nh4,TRUE,cec,usda.a723,cmolc.kg,x,cec_usda.a723_cmolc.kg,"already with OSSL unit as it was fetched from the OSSL DB, not the original KSSL"
_avg_soil+site+NIR,ca_nh4d,TRUE,ca.ext,usda.a722,cmolc.kg,x,ca.ext_usda.a722_cmolc.kg,"already with OSSL unit as it was fetched from the OSSL DB, not the original KSSL"
_avg_soil+site+NIR,mg_nh4d,TRUE,mg.ext,usda.a724,cmolc.kg,x,mg.ext_usda.a724_cmolc.kg,"already with OSSL unit as it was fetched from the OSSL DB, not the original KSSL"
_avg_soil+site+NIR,k_nh4d,TRUE,k.ext,usda.a725,cmolc.kg,x,k.ext_usda.a725_cmolc.kg,"already with OSSL unit as it was fetched from the OSSL DB, not the original KSSL"
_avg_soil+site+NIR,na_nh4d,TRUE,na.ext,usda.a726,cmolc.kg,x,na.ext_usda.a726_cmolc.kg,"already with OSSL unit as it was fetched from the OSSL DB, not the original KSSL"
_avg_soil+site+NIR,w32l2,TRUE,wr.33kPa,usda.a415,w.pct,x,wr.33kPa_usda.a415_w.pct,"already with OSSL unit as it was fetched from the OSSL DB, not the original KSSL"
_avg_soil+site+NIR,w15l2,TRUE,wr.1500kPa,usda.a417,w.pct,x,wr.1500kPa_usda.a417_w.pct,"already with OSSL unit as it was fetched from the OSSL DB, not the original KSSL"
_avg_soil+site+NIR,al_dith,TRUE,al.dith,usda.a65,w.pct,x,al.dith_usda.a65_w.pct,"already with OSSL unit as it was fetched from the OSSL DB, not the original KSSL"
_avg_soil+site+NIR,p_mehlich3,TRUE,p.ext,usda.a652,mg.kg,x,p.ext_usda.a652_mg.kg,"already with OSSL unit as it was fetched from the OSSL DB, not the original KSSL"
_avg_soil+site+NIR,p_el_meh3,TRUE,p.ext,usda.a1070,mg.kg,x,p.ext_usda.a1070_mg.kg,"already with OSSL unit as it was fetched from the OSSL DB, not the original KSSL"
_avg_soil+site+NIR,k_el_meh3,TRUE,k.ext,usda.a1065,mg.kg,x,k.ext_usda.a1065_mg.kg,"already with OSSL unit as it was fetched from the OSSL DB, not the original KSSL"
_avg_soil+site+NIR,ec_12pre,TRUE,ec,usda.a364,ds.m,x,ec_usda.a364_ds.m,"already with OSSL unit as it was fetched from the OSSL DB, not the original KSSL"
