table,original_name,import,ossl_abbrev,ossl_method,ossl_unit,ossl_convert,ossl_name,comment
FR380_particlesize,Trial ID,NA,NA,NA,NA,NA,NA,NA
FR380_particlesize,LCR_Soil profile ID,NA,NA,NA,NA,NA,NA,NA
FR380_particlesize,LCR_Lab letter,NA,NA,NA,NA,NA,NA,NA
FR380_particlesize,LCR_Horizon number,NA,NA,NA,NA,NA,NA,NA
FR380_particlesize,Coarse sand (%),NA,NA,NA,NA,NA,NA,"Particle size was measured by dispersing the field-moist soil in water with an ultrasonic probe and sedimentation separating the fine earth (<2 mm) fraction (% sand, silt and clay); Watt et al. (2005; 2008) and Ross et al. (2009)"
FR380_particlesize,Medium sand (%),NA,NA,NA,NA,NA,NA,"Pipett method, Watt et al (2008) and Ross et al. (2009)"
FR380_particlesize,Fine sand (%),NA,NA,NA,NA,NA,NA,NA
FR380_particlesize,Sand (%),TRUE,clay.tot,usda.a334,w.pct,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",clay.tot_usda.a334_w.pct,NA
FR380_particlesize,Silt (%),TRUE,sand.tot,usda.c60,w.pct,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",sand.tot_usda.c60_w.pct,NA
FR380_particlesize,Clay (%),TRUE,silt.tot,usda.c62,w.pct,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",silt.tot_usda.c62_w.pct,NA
FR380_physical,Trial ID,NA,NA,NA,NA,NA,NA,NA
FR380_physical,Location of sample,NA,NA,NA,NA,NA,NA,NA; Watt et al. (2005; 2008)
FR380_physical,Sample Method,NA,NA,NA,NA,NA,NA,NA; Watt et al. (2005; 2008) and Ross et al. (2009)
FR380_physical,Sample plots 'Disturbed' or 'Undisturbed',NA,NA,NA,NA,NA,NA,NA; Watt et al. (2005; 2008)
FR380_physical,Horizon notation,NA,NA,NA,NA,NA,NA,"NA; Milne JDG, Clayden B, Singleton PL, Wilson AD, (1995) Soil description handbook. Manaaki Whenua Press. https://doi.org/10.7931/DL1JG6"
FR380_physical,Horizon top (cm),NA,NA,NA,NA,NA,NA,NA
FR380_physical,Horizon base (cm),NA,NA,NA,NA,NA,NA,NA
FR380_physical,LCR_Soil profile ID,NA,NA,NA,NA,NA,NA,NA
FR380_physical,LCR_Lab letter,NA,NA,NA,NA,NA,NA,NA
FR380_physical,LCR_Horizon number,NA,NA,NA,NA,NA,NA,NA
FR380_physical,Lab Code,NA,NA,NA,NA,NA,NA,NA
FR380_physical,Particle density (g/cm3),NA,NA,NA,NA,NA,NA,NA; Watt et al. (2005; 2008) and Ross et al. (2009)
FR380_physical,Bulk density (g/cm3),TRUE,bd,usda.a4,g.cm3,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",bd_usda.a4_g.cm3,"I think the KSSL code is wrong, should be 3b6 (core samples, as 3b2 is for reconstructed clods)"
FR380_physical,Porosity (%),NA,NA,NA,NA,NA,NA,Description Watt et al (2008) and Ross et al. (2009)
FR380_physical,Macro-porosity (%),NA,NA,NA,NA,NA,NA,NA
FR380_physical,Air capacity (%),NA,NA,NA,NA,NA,NA,NA
FR380_physical,Void Ratio,NA,NA,NA,NA,NA,NA,NA
FR380_physical,Field capacity (%),NA,NA,NA,NA,NA,NA,NA
