table,original_name,import,original_unit,original_method,comment,ossl_abbrev,ossl_method,ossl_unit,ossl_convert,ossl_name
india_metadata.csv,sample_id,,,,,,,,,
india_metadata.csv,BD,,,,,,,,,
india_metadata.csv,TC,,,,,,,,,
india_metadata.csv,TOC,,,,,,,,,
india_metadata.csv,SOC stock,,,,,,,,,
india_metadata.csv,TN,,,,,,,,,
india_metadata.csv,CN,,,,,,,,,
india_metadata.csv,pH,,,,,,,,,
india_metadata.csv,EC,,,,,,,,,
india_metadata.csv,CEC,,,,,,,,,
india_metadata.csv,Clay,,,,,,,,,
india_metadata.csv,Silt,,,,,,,,,
india_metadata.csv,Sand,,,,,,,,,
india_metadata.csv,Fetot,,,,,,,,,
india_metadata.csv,Altot,,,,,,,,,
india_metadata.csv,Sitot,,,,,,,,,
india_metadata.csv,Ktot,,,,,,,,,
india_metadata.csv,Natot,,,,,,,,,
india_metadata.csv,Catot,,,,,,,,,
india_metadata.csv,Ptot,,,,,,,,,
india_metadata.csv,Mgtot,,,,,,,,,
