source,id,ossl_method,name,abbrev,unit,n_available_selMaster,n_available_allMaster,description
kssl_analyte,365,usda.a365,"Acetate, Saturation Extract",oac_satx,mmol(-)/L,8710,8774,The acetate anion in the saturation extract.
kssl_analyte,1186,usda.a1186,"Acetate, Water",oac_wat,µg/L,NA,NA,The acetate anion in the water sample.
kssl_analyte,1145,usda.a1145,"Acetate, water extract",oac_watx,µg/kg,777,840,The acetate anion in the water extract.
kssl_analyte,88,usda.a88,"Acidity, BaCl2-TEA Extractable, pH 8.2",acid_tea,cmol(+)/kg,2505,2556,"Extractable acidity, BaCl2-TEA at pH 8.2, is a measure of the amount of acid neutralized at a set pH. It is a measure of the potential acidity present, and does not distinguish between exchangeable and nonexchangeable components."
kssl_analyte,795,usda.a795,"Acidity, BaCl2-TEA Extractable, pH 8.2, centrifuge",acid_teac,cmol(+)/kg,28378,29476,"Extractable acidity, BaCl2-TEA at pH 8.2, is a measure of the amount of acid neutralized at a set pH. It is a measure of the potential acidity present, and does not distinguish between exchangeable and nonexchangeable components."
kssl_analyte,109,usda.a109,"Actinolite, petro_count",min_AC_petro_count,count,1,1,to be added
kssl_analyte,1240,usda.a1240,"Actinolite, x-ray pm",min_AC_x-ray_pm,peak_size,NA,NA,to be added
kssl_calc,1226,usda.c1226,"Active Carbon, screened, F, Cary 50",ActiveC,mg/kg,NA,NA,"Active Carbon screened resulting in ND (non-detect), value, or over-limit value."
kssl_calc,1231,usda.c1231,"Active Carbon, screened, F, Cary 60",ActiveC,mg/kg,NA,NA,"Active Carbon screened resulting in ND (non-detect), value, or over-limit value."
kssl_calc,1223,usda.c1223,"Active Carbon, screened, M, Cary 50",ActiveC,mg/kg,122,122,"Active Carbon screened resulting in ND (non-detect), value, or over-limit value."
kssl_calc,1228,usda.c1228,"Active Carbon, screened, M, Cary 60",ActiveC,mg/kg,NA,NA,"Active Carbon screened resulting in ND (non-detect), value, or over-limit value."
kssl_calc,1224,usda.c1224,"Active Carbon, screened, N, Cary 50",ActiveC,mg/kg,60,60,"Active Carbon screened resulting in ND (non-detect), value, or over-limit value."
kssl_calc,1229,usda.c1229,"Active Carbon, screened, N, Cary 60",ActiveC,mg/kg,9,9,"Active Carbon screened resulting in ND (non-detect), value, or over-limit value."
kssl_calc,1222,usda.c1222,"Active Carbon, screened, S, Cary 50",ActiveC,mg/kg,4626,4626,"Active Carbon screened resulting in ND (non-detect), value, or over-limit value."
kssl_calc,1227,usda.c1227,"Active Carbon, screened, S, Cary 60",ActiveC,mg/kg,1412,1412,"Active Carbon screened resulting in ND (non-detect), value, or over-limit value."
kssl_calc,1232,usda.c1232,"Active Carbon, screened, S80, Cary 50",ActiveC,mg/kg,252,252,"Active Carbon screened resulting in ND (non-detect), value, or over-limit value."
kssl_calc,1237,usda.c1237,"Active Carbon, screened, S80, Cary 60",ActiveC,mg/kg,NA,NA,"Active Carbon screened resulting in ND (non-detect), value, or over-limit value."
kssl_calc,1241,usda.c1241,"Active Carbon, weight note, F, Cary 50",ActCWt,(NA),NA,NA,Active Carbon weight note displays a note if the average weight used in analysis is outside the range 2.4 to 2.6 gm.
