ossl_name,type,example,description
id.sample_local_c,string,,Soil sample identifier
id.scan_local_c,string,,Scan identifier (One average spectra per device)
scan.lab_utf8_txt,string,,Scanning laboratory
scan.visnir.date.begin_iso.8601_yyyy.mm.dd,string,,Begin date of scanning following YYYY-MM-DD format (ISO 8601)
scan.visnir.date.end_iso.8601_yyyy.mm.dd,string,,Begin date of scanning following YYYY-MM-DD format (ISO 8601)
scan.nir.model.name_utf8_txt,string,,NIR device code
scan.nir.model.serialnumber_utf8_in,numeric,,NIR device serial number
scan.nir.accessory.used_utf8_txt,string,,Yes or No for scanning accesory
scan.visnir.method.preparation_any_txt,string,,Soil sample preparation before scanning
scan.visnir.license.title_ascii_txt,string,,Dataset scans license
scan.visnir.license.address_idn_url,string,,Dataset scans license url
scan.visnir.doi_idf_url,string,,Digital object identifier (DOI) url of the dataset scans
scan.visnir.contact.name_utf8_txt,string,,Dataset scans contact name
scan.visnir.contact.email_ietf_txt,string,,Dataset scans contact email
scan_nir.1350_ref,numeric,,"Reflectance in fraction unit, first wavelength in the 1350-2550 nm range"
scan_nir.2550_ref,numeric,,"Reflectance in fraction unit, last wavelength in the 1350-2550 nm range"
