ossl_name,type,example,description
dataset.code_ascii_txt,character,AFSIS1.SSL,
id.layer_uuid_txt,character,ded584d70bf0474202d30e575ae24784,
id.layer_local_c,character,icr072246,
longitude.point_wgs84_dd,double,  15.6874916700,
latitude.point_wgs84_dd,double, -7.37775000,
layer.sequence_usda_uint16,double, 1,
layer.upper.depth_usda_cm,double,   0.0,
layer.lower.depth_usda_cm,double,  20.0,
observation.date.begin_iso.8601_yyyy.mm.dd,double,2011-01-01,
observation.date.end_iso.8601_yyyy.mm.dd,double,2013-12-31,
surveyor.title_utf8_txt,character,L.T.Desta,
id.project_ascii_txt,character,Africa Soil Information Service (AfSIS-1),
id.location_olc_txt,character,6F4QJMCP+VX,
layer.texture_usda_txt,character,sand,
pedon.taxa_usda_txt,character,Typic Kanhaplustalf,
horizon.designation_usda_txt,character,Ap,
longitude.county_wgs84_dd,double, -96.688800,
latitude.county_wgs84_dd,double,40.78446,
location.point.error_any_m,double,  30,
location.country_iso.3166_txt,character,NZL,
observation.ogc.schema.title_ogc_txt,character,Open Soil Spectroscopy Library,
observation.ogc.schema_idn_url,character,https://soilspectroscopy.github.io,
surveyor.contact_ietf_email,character,afsis.info@africasoils.net,
surveyor.address_utf8_txt,character,"ICRAF, PO Box 30677, Nairobi, 00100, Kenya",
dataset.title_utf8_txt,character,Africa Soil Information Service (AfSIS-1),
dataset.owner_utf8_txt,character,"ICRAF, CROPNUTS, RRES",
dataset.address_idn_url,character,https://www.isric.org/explore/ISRIC-collections,
dataset.doi_idf_url,character,https://doi.org/10.1016/j.geodrs.2015.06.002,
dataset.license.title_ascii_txt,character,ODC Open Database License,
dataset.license.address_idn_url,character,https://opendatacommons.org/licenses/odbl/,
dataset.contact.name_utf8_txt,character,Keith Shepherd,
dataset.contact_ietf_email,character,afsis.info@africasoils.net,
id.dataset.site_ascii_txt,character,203,
